bookID,title,authors,publication_date,publisher
12749,Swann's Way (In Search of Lost Time  #1),Marcel Proust/Lydia Davis,2004-11-30,Penguin Classics
12753,Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff/Elizabeth Dalton,2005-10-01,Barnes & Noble Books
12754,Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff,2005-01-01,IndyPublish.com
12769,Lady of the Lake,Elizabeth Mayne,1997-07-25,Harlequin Historical
12770,A Kiss Before Dying,Ira Levin/Otto Penzler,2003-04-07,Carroll & Graf Publishers
12771,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,1996-02-01,Bantam
12783,The Satanic Verses,Salman Rushdie,1988-09-26,Penguin Books Ltd
12786,The City of Falling Angels,John Berendt,2006-09-26,Penguin Books
12787,Falling Angel,William Hjortsberg/Ridley Scott/James Crumley,2006-11-01,Millipede Press
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,2006-02-14,iUniverse
12793,The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,2001-11-01,University of Chicago Press
12803,Ulysses,James Joyce/Craig Raine,1997-10-28,Everyman's Library
12807,The Crazed,Ha Jin,2002-10-03,Arrow (A Division of Random House Group)
12812,Chickenhawk: Back in the World Again: Life After Vietnam,Robert Mason,1994-05-01,Penguin Books
12817,Nuns and Soldiers,Iris Murdoch/Karen Armstrong,2002-07-30,Penguin Classics
12820,Sir Gawain And The Green Knight,Michael Morpurgo/Michael Foreman,2004-11-01,Walker
12822,Cliffs Notes on Wiesel's Night,Maryam Riess,1996-08-22,Cliffs Notes
12823,The Night Trilogy: Night  Dawn  the Accident,Elie Wiesel/Marion Wiesel,1987-09-01,Hill and Wang
12827,Strong Motion,Jonathan Franzen,2007-06-01,Fourth Estate (GB)
12828,How to Be Alone,Jonathan Franzen,2007-07-02,Harper Perennial
12829,The Twenty-Seventh City,Jonathan Franzen,2001-09-08,Picador USA
12840,Second Ring of Power,Carlos Castañeda,1991-04-01,Washington Square Press
12841,The Active Side of Infinity,Carlos Castañeda,1999-12-22,Harper Perennial
12842,Journey to Ixtlan,Carlos Castañeda,1991-02-01,Washington Square Press
12843,The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,2001-01-01,Washington Square Press
12844,Power of Silence,Carlos Castañeda,1991-06-01,Washington Square Press
12845,Tales of Power,Carlos Castañeda,1991-01-01,Washington Square Press
12846,Fire from Within,Carlos Castañeda,1991-01-01,Washington Square Press
12847,The Art of Dreaming,Carlos Castañeda,2004-02-16,Element
12851,The Best Stories of Fyodor Dostoevsky,Fyodor Dostoyevsky/David Magarshack,2005-07-26,Modern Library
12852,The Best Short Stories,Fyodor Dostoyevsky/David Magarshack,2001-02-13,Modern Library
12853,Demons,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,2000-10-24,Everyman's Library
12854,The Idiot,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,2003-07-08,Vintage Classics
12855,Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky/Ronald Hingley,2004-07-06,Harper Perennial Modern Classics
12856,The Idiot,Fyodor Dostoyevsky/Constance Garnett/Joseph Frank,2004-01-16,Barnes  Noble Classics
12859,Celtic Tree Mysteries: Practical Druid Magic & Divination,Steve Blamires/Sandy Leuthner,2002-10-08,Llewellyn Publications
12873,Rebecca,Daphne du Maurier/Sally Beauman,2007-12-01,Virago Press (UK)
12876,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,Rebecca Goldstein,2006-05-30,Schocken
12879,Shadow of the Moon (Moon #5),Rebecca York,2006-06-06,Berkley Sensation
12880,Black Lamb and Grey Falcon,Rebecca West/Christopher Hitchens,2007-01-30,Penguin Classics
12881,Operation Shylock: A Confession,Philip Roth,1994-06-16,Vintage
12882,Operation Shylock. Ein Bekenntnis,Philip Roth,1994-01-01,Carl Hanser
12885,Lost in the Funhouse,John Barth,1988-03-01,Anchor Books
12901,CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),James Lamar Roberts/William Faulkner/CliffsNotes,1964-03-13,Cliffs Notes
12905,The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,William Faulkner,1988-03-12,Octopus Books
12906,CliffsNotes on Faulkner's Absalom  Absalom!,James Lamar Roberts/CliffsNotes,1964-02-28,Cliffs Notes
12912,The Aeneid,Virgil/Robert Fagles/Bernard Knox,2006-11-02,Viking
12914,The Aeneid,Virgil/Robert Fitzgerald,1990-06-16,Vintage
12916,The Aeneid,Virgil/David   West,2003-03-27,Penguin Books Ltd
12918,Aeneid,Virgil/Stanley Lombardo/W. R. Johnson,2005-03-15,Hackett Publishing Company  Inc.
12919,Virgil  Vol 2: Aeneid Books 7-12  Appendix Vergiliana,Virgil/G.P. Goold,2001-01-01,Harvard University Press
12922,The Castle of Otranto,Horace Walpole/E.F. Bleiler/Walter Scott,2004-03-19,Dover Publications
12923,The Castle of Otranto,Horace Walpole,1998-07-16,Oxford University Press
12930,Messenger (The Giver  #3),Lois Lowry,2006-08-22,Ember
12931,Gossamer,Lois Lowry,2006-04-24,HMH Books for Young Readers
12932,Anastasia on Her Own (Anastasia Krupnik  #5),Lois Lowry,1986-06-01,Yearling Books
12933,Stay!: Keeper's Story,Lois Lowry/True Kelley,1999-03-09,Yearling
12936,Gathering Blue (The Giver  #2),Lois Lowry,2000-09-25,Delacorte Press
12937,See You Around  Sam! (Sam Krupnik  #3),Lois Lowry/Diane deGroat,1998-03-09,Yearling
12938,King Lear,William Shakespeare,2004-01-01,Simon  Schuster
12939,King Lear,William Shakespeare/Roma Gill,2002-12-12,Oxford University Press
12941,King Lear,William Shakespeare/R.A. Foakes,1997-05-09,Bloomsbury Arden Shakespeare
12944,King Lear,William Shakespeare/Barbara A. Mowat/Paul Werstine,2005-08-01,Simon  Schuster
12947,The Turn of the Screw (Norton Critical Edition),Henry James/Deborah Esch/Jonathan Warren,1999-07-17,W. W. Norton & Co.
12950,The Turn of the Screw and The Aspern Papers,Henry James/Anthony Curtis,2003-06-26,Penguin Books
12951,The Turn of the Screw and Other Short Fiction,Henry James/R.W.B. Lewis,2008-11-01,Bantam Classic
12954,The Turn of the Screw,Henry James/Peter G. Beidler,2003-11-06,Bedford Books
12958,Much Ado about Nothing,William Shakespeare/Mary Berry/Michael Clamp,2005-09-01,Cambridge University Press
12960,Much Ado About Nothing,William Shakespeare/David L. Stevenson,1998-07-01,Signet Classic
12961,Much Ado about Nothing (Oxford School Shakespeare),William Shakespeare/Roma Gill,2002-12-12,Oxford University Press  USA
12964,Much Ado about Nothing,William Shakespeare/Samuel West/Amanda Root/Arkangel Cast,2005-11-30,BBC Audiobooks America
12965,Much Ado about Nothing,William Shakespeare/F.H. Mares,2003-04-21,Cambridge University Press
12967,Winter's Tale,Mark Helprin,2005-06-01,Mariner Books
12969,Winter's Tales,Isak Dinesen/Karen Blixen,1993-06-01,Vintage
12975,Twelfth Night,William Shakespeare/Alan Durband,1996-08-01,Barrons Educational Series
12980,Twelfth Night,William Shakespeare/Barbara A. Mowat/Paul Werstine,2005-08-01,Simon  Schuster
12982,Twelfth Night,William Shakespeare,2005-04-07,Penguin Classics
12984,Tempest (Star Wars: Legacy of the Force  #3),Troy Denning,2006-11-28,Del Rey
12990,Red: Passion and Patience in the Desert,Terry Tempest Williams,2002-10-08,Vintage
12993,Hamlet  The Texts of 1603 and 1623,William Shakespeare/Neil Taylor,2006-03-22,Bloomsbury Arden Shakespeare
12994,Hamlet's Dresser: A Memoir,Bob      Smith,2003-02-01,Scribner
12995,The Hamlet,William Faulkner,1991-10-29,Vintage International
12996,Othello,William Shakespeare,2004-01-01,Simon  Schuster
12999,Othello,William Shakespeare/David Threlfall/Don Warrington/Anne-Marie Duff/Arkangel Cast,2005-09-15,Audio Partners
13002,Othello,William Shakespeare/Barbara A. Mowat/Paul Werstine,2004-08-01,Simon  Schuster
13006,Julius Caesar,William Shakespeare/Roma Gill,2002-10-17,Oxford University Press  USA
13008,Julius Caesar,William Shakespeare/John   Bowe/Michael Feast/Adrian Lester,2005-06-01,Audio Partners
13011,Julius Caesar,William Shakespeare/Marvin Spevack/Marga Munkelt,2004-05-24,Cambridge University Press
13012,Julius Caesar,William Shakespeare/SparkNotes,2003-07-03,SparkNotes
14428,The Inheritors,William Golding,1963-09-25,Mariner Books
13018,Cliffsnotes on Shakespeare's Henry IV  Part 1,James K. Lowers/William Shakespeare/CliffsNotes,1960-06-15,Cliffs Notes
13020,King Henry IV  Part 1,William Shakespeare/David Scott Kastan,2002-11-07,Bloomsbury Arden Shakespeare
13023,Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,2004-09-07,Gramercy Books
13028,Alice In Wonderland,Lewis Carroll/John Tenniel,2001-09-01,Scholastic Paperbacks
13033,The Alexandria Quartet  (The Alexandria Quartet #1-4),Lawrence Durrell,1991-12-01,Penguin Books
13037,Justine (The Alexandria Quartet #1),Lawrence Durrell,1991-07-12,Penguin Books
13039,Clea (The Alexandria Quartet #4),Lawrence Durrell,1991-07-12,Penguin Books
13040,Siddhartha,Hermann Hesse,1993-02-02,Turtleback Books
13042,Kate Vaiden,Reynolds Price,1998-05-29,Scribner
13050,The Social Contract and The First and Second Discourses,Jean-Jacques Rousseau/Susan Dunn/Gita May/Robert N. Bellah/David Bromwich/Conor           Cruise O'Brien,2002-02-08,Yale University Press
13060,Nature Girl,Carl Hiaasen,2006-11-14,Alfred A. Knopf
13061,Stormy Weather,Carl Hiaasen,2001-03-01,Grand Central Publishing
13062,Skin Tight (Mick Stranahan  #1),Carl Hiaasen,2005-04-12,Warner Books (NY)
13063,Basket Case,Carl Hiaasen,2005-02-01,Grand Central Publishing
13064,Tourist Season,Carl Hiaasen,2005-05-09,Warner Books (NY)
13066,Sick Puppy,Carl Hiaasen,2005-04-12,Grand Central Publishing
13067,Flush,Carl Hiaasen,2005-09-13,Alfred A. Knopf Books for Young Readers
13068,Double Whammy (Skink #1),Carl Hiaasen,2005-03-01,Grand Central Publishing
13069,Naked Came the Manatee,Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,1998-01-20,Ballantine Books
13074,Strip Tease,Carl Hiaasen,2005-03-01,Grand Central Publishing
13075,Basket Case,Carl Hiaasen,2003-01-01,Grand Central Publishing
13076,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,2000-01-04,Random House Audio
13079,Skinny Dip (Mick Stranahan #2),Carl Hiaasen,2006-05-01,Grand Central Publishing
13083,Hoot,Carl Hiaasen,2006-03-14,Yearling Books
13086,Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck,2001-04-16,North Point Press
13100,The Bible Cure For Diabetes,Don Colbert,1999-08-19,Siloam
13104,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,2005-12-02,Warner Books (NY)
13105,The Tenth Insight: Holding the Vision (Celestine Prophecy  #2),James Redfield,1998-12-01,Grand Central Publishing
13106,The Celestine Prophecy,James Redfield/Lou Diamond Phillips,2006-02-16,Grand Central Publishing
13107,The Celestine Prophecy: An Experiential Guide,James Redfield,1995-07-06,Bantam
13113,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1979-06-01,Quill
13119,The Dark Side Of Genius: The Life Of Alfred Hitchcock,Donald Spoto,1999-08-30,Da Capo Press
13121,Enchantment: The Life of Audrey Hepburn,Donald Spoto,2007-04-02,Harmony
13122,Marilyn Monroe: The Biography,Donald Spoto,2001-07-17,Cooper Square Publishers
13128,Cross (Alex Cross  #12),James Patterson,2006-11-13,Little Brown and Company
13130,Judge & Jury,James Patterson/Andrew Gross,2006-07-31,Little  Brown and Company
13131,The 6th Target (Women's Murder Club  #6),James Patterson/Maxine Paetro,2007-05-08,Little Brown and Company
13133,The Quickie,James Patterson/Michael Ledwidge,2007-07-02,Little  Brown and Company
13134,You've Been Warned,James Patterson/Howard Roughan,2007-09-10,Little Brown and Company
13136,2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,2005-05-20,Grand Central Publishing
13137,1st to Die (Women's Murder Club  #1),James Patterson,2005-05-20,Grand Central Publishing
13138,Season of the Machete,James Patterson,1995-04-01,Vision
13139,School's Out—Forever (Maximum Ride  #2),James Patterson,2006-05-23,Little  Brown and Company
13140,Jack & Jill (Alex Cross  #3),James Patterson,2003-08-01,Grand Central Publishing
13141,The Midnight Club,James Patterson,1999-06-01,Vision
13142,Cat & Mouse (Alex Cross #4),James Patterson,2003-08-01,Grand Central Publishing
13143,Pop Goes the Weasel (Alex Cross  #5),James Patterson,2000-10-01,TIme Warner Books
13144,Roses Are Red (Alex Cross  #6),James Patterson,2001-06-25,Headline
13145,Along Came a Spider (Alex Cross  #1),James Patterson,2003-08-01,Grand Central Publishing
13146,Black Friday,James Patterson,2000-04-01,Vision
13147,Honeymoon (Honeymoon  #1),James Patterson/Howard Roughan,2007-01-01,Grand Central Publishing
13148,Kiss the Girls (Alex Cross  #2),James Patterson,2000-07-01,Grand Central Publishing
13149,The Thomas Berryman Number,James Patterson,1996-04-01,Grand Central Publishing
13151,London Bridges (Alex Cross  #10),James Patterson,2005-10-01,Vision
13152,The Angel Experiment (Maximum Ride  #1),James Patterson,2006-05-05,Grand Central Publishing
13155,3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,2005-05-20,Grand Central Publishing
13157,The Jester,James Patterson/Andrew Gross,2004-03-01,Headline
13158,See How They Run,James Patterson,1997-07-08,Doubleday Books
13161,Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,1999-05-05,Little Brown and Company
13162,When the Wind Blows (When the Wind Blows  #1),James Patterson,2000-04-01,Grand Central Publishing
13164,SantaKid,James Patterson/Michael Garland,2004-11-01,Jimmy Patterson
13173,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,1999-03-21,HarperCollins
13177,Private Parts,Howard Stern,1997-03-01,Pocket Books
13180,The Private Parts of Women,Lesley Glaister,2002-09-01,Bloomsbury Publishing PLC
13194,Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,2008-12-16,DC Comics
13196,Quiver,Stephanie Spinner,2005-04-12,Laurel-Leaf Books
13199,A Quiver Full of Arrows,Jeffrey Archer,2005-08-30,St. Martin's Paperbacks
13203,Celebrations: Rituals of Peace and Prayer,Maya Angelou,2006-10-24,Random House
13206,The Collected Autobiographies of Maya Angelou,Maya Angelou,2004-09-21,Modern Library
13210,Wouldn't Take Nothing for My Journey Now,Maya Angelou,1997-05-12,Bantam
13211,And Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,2001-08-07,Random House
13215,Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,1996-02-06,Harry N. Abrams
13228,Cumbres borrascosas,Emily Brontë,2006-05-28,Edimat Libros
13237,Dreaming in Pictures: The Photography,Lewis Carroll/Douglas R. Nickel,2002-08-11,Yale University Press
13238,Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll/Graeme Base,1996-03-30,Harry N. Abrams
13241,The Collected Short Stories of Maxim Gorky,Maxim Gorky/Avrahm Yarmolinsky/Moura Budberg,1988-08-18,Citadel Press
13254,Name Dropping,Jane Heller,2001-03-15,St. Martin's Press
13257,Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,1998-02-23,Puffin Books
13258,What Was She Thinking? [Notes on a Scandal],Zoë Heller,2004-06-01,Picador
13260,Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,2007-05-08,Wizards of the Coast
13270,Poetics,Aristotle/Malcolm Heath,1996-09-26,Penguin Classics
13275,Poetics of Music in the Form of Six Lessons,Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,1970-02-26,Harvard University Press
13276,An Introduction to the Old Testament Poetic Books,C. Hassell Bullock,1988-08-08,Moody Publishers (Chicago)
13285,Mondrian,John Milner/Piet Mondrian,1995-04-01,Phaidon Press
13310,Writings on Art,Mark Rothko/Miguel López-Remiro,2006-04-28,Yale University Press
13314,The Legacy of Mark Rothko,Lee Seldes,1996-08-22,Da Capo Press
13320,Mark Rothko,Diane Waldman/Bernard Malamud,1978-09-01,Harry N. Abrams
13323,Mark Rothko  1903 1970,Diane Waldman,2001-05-14,Thames & Hudson Ltd
13329,A World of Art,Henry M. Sayre,2006-12-22,Prentice Hall
13336,Olympian Odes. Pythian Odes,Pindar/William H. Race,1997-04-15,Harvard University Press
13337,The Odes,Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,1982-09-30,Penguin Books
13342,The Odes and Selected Fragments,Pindar/G.S. Conway/Richard Stoneman,1998-03-01,Everyman's Library
13344,Nemean Odes. Isthmian Odes. Fragments,Pindar/William H. Race,1997-04-15,Harvard University Press
13345,Sabriel (Abhorsen  #1),Garth Nix,2004-08-17,Eos
13347,Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,1998-06-01,University of Pennsylvania Press
13357,Eragon: Prima Official Game Guide,Prima Publishing,2006-11-14,Prima Games
13360,Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,2002-10-01,FaithWords
13365,A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,2006-11-21,Hqn
13368,James Joyce's Ulysses,Stuart Gilbert,1955-01-12,Vintage
13374,A Complicated Kindness,Miriam Toews,2005-08-17,Counterpoint LLC
13375,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert/Miriam Toews,2006-08-30,Bookclub-In-A-Box
13379,Race of Scorpions (The House of Niccolo  #3),Dorothy Dunnett,1990-05-05,Knopf
13382,Vinyl Cafe Odd Jobs,Stuart McLean,2005-06-15,Canadian Broadcasting Corporation (CBC Audio)
13383,Vinyl Cafe Coast to Coast Story Service,Stuart McLean,2005-07-15,Canadian Broadcasting Corporation (CBC Audio)
13388,Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,2003-11-28,Penguin Books Canada
13397,Checkmate (Tom Clancy's Splinter Cell  #3),David  Michaels/Tom Clancy,2006-11-07,Berkley
13398,Operation Barracuda (Tom Clancy's Splinter Cell  #2),David  Michaels/Raymond Benson/Tom Clancy,2005-11-01,Berkley
13399,Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,2004-12-06,Berkley
13413,Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,2000-08-10,Indigo
13414,Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman/Hermann Alexander Diels,2003-08-08,Harvard University Press (Cambridge)
13421,The Presocratics,Philip Ellis Wheelwright,1966-01-11,Prentice Hall/Library of Liberal Arts
13422,The Presocratic Philosophers,Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,1983-12-29,Cambridge University Press
13423,Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,2004-09-16,Oxford University Press  USA
13424,The Presocratic Philosophers,Jonathan Barnes/Ted Honderich,1982-09-16,Routledge
13425,The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,2000-11-30,Oxford University Press
13440,Skeleton Crew,Stephen King,1993-05-13,Warner Books
13442,Night Shift,Stephen King,1993-10-01,Doubleday Books
13444,The Talisman,Stephen King/Peter Straub,1984-11-08,Viking; G. P. Putnam & Sons
13446,El retrato de Rose Madder,Stephen King/Bettina Blanch Tyroller,2006-10-03,Debolsillo
13448,The Dark Half,Stephen King,1989-11-01,Viking Books
13449,La Milla Verde,Stephen King/María Eugenia Ciocchini Suárez,2002-03-26,Fireside Books
13451,Storm of the Century,Stephen King,1999-02-01,Pocket
13460,Girls Think of Everything: Stories of Ingenious Inventions by Women,Catherine Thimmesh/Melissa Sweet,2002-03-11,HMH Books for Young Readers
13462,How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,Stanley Coren,2005-06-06,Atria Books
13463,The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,Michael J. Gelb,1999-06-15,Dell
13467,Brit-Think  Ameri-Think: A Transatlantic Survival Guide,Jane Walmsley,2003-02-25,Penguin Books
13469,What You Think of Me Is None of My Business,Terry Cole-Whittaker,1988-04-01,Berkley Books
13470,Think on These Things,Jiddu Krishnamurti/D. Rajagopal,1989-10-11,HarperOne
13484,Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,Pam Johnson-Bennett,2000-01-24,Penguin Books
13485,Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,2006-06-27,St. Martin's Griffin
13486,How to Think Theologically,Howard W. Stone/James O. Duke,2006-01-01,Fortress Press
13487,JoJo's Bizarre Adventure  Vol. 6 (Stardust Crusaders  #6),Hirohiko Araki,2006-12-05,VIZ Media
13488,JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,2006-06-06,VIZ Media
13489,JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),Hirohiko Araki,2006-09-05,VIZ Media
13490,JoJo's Bizarre Adventure  Vol. 7 (Stardust Crusaders  #7),Hirohiko Araki,2007-04-03,VIZ Media
13492,Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),Hirohiko Araki,2002-04-29,J'ai Lu
13493,JoJo's Bizarre Adventure  Vol. 8 (Stardust Crusaders  #8),Hirohiko Araki,2007-08-07,VIZ Media
13494,Jojo's Bizarre Adventure  Tome 17: L'Amoureux terrible (Stardust Crusaders  #5),Hirohiko Araki/Hirohiko Araki,2003-05-23,J'ai lu
13495,Jojo's Bizarre Adventure  Tome 6: Jojo contre la forme de vie ultime (Battle Tendency  #1),Hirohiko Araki,2002-06-26,J'ai lu
13500,Fevre Dream,George R.R. Martin,1982-01-01,Poseidon Press
13501,The Hedge Knight (The Tales of Dunk and Egg  #1),Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell,2005-02-23,Dabel Brothers Publishing
13504,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,2004-02-17,Random House Audio
13505,Tuf Voyaging,George R.R. Martin,2004-11-10,Meisha Merlin Publishing
13506,Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,2000-09-05,St. Martins Press
13508,Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,1995-08-04,The New Press
13509,Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,James W. Loewen,2006-10-01,New Press
13517,C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,1997-01-01,Daimon Verlag
13519,The Journey to the East,Hermann Hesse/Hilda Rosner,2003-02-01,Picador
13521,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,2006-09-26,William Morrow Paperbacks
13529,March,Geraldine Brooks,2006-01-31,Penguin
13530,Foreign Correspondence: A Pen Pal's Journey from Down Under to All Over,Geraldine Brooks,1999-01-19,Anchor Books
13536,Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),Hirohiko Araki,2002-01-28,J'ai Lu
13538,Jojo's Bizarre Adventure  Tome 19: La Lampe Magique (Stardust Crusaders  #7),Hirohiko Araki/Hirohiko Araki,2003-07-15,J'ai Lu
13540,Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),Hirohiko Araki/Hirohiko Araki,2003-02-25,J'ai lu
13541,Jojo's Bizarre Adventure  Tome 13: Le Maléfice de Dio (Stardust Crusaders  #1),Hirohiko Araki/Hirohiko Araki,2003-01-28,J'ai lu
13543,Jojo's Bizarre Adventure  Tome 5: La dernière onde (Phantom Blood  #5),Hirohiko Araki,2002-05-23,J'ai lu
13544,Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),Hirohiko Araki,2002-09-27,J'ai Lu
13545,Jojo's Bizarre Adventure  Tome 18: Death Thirteen (Stardust Crusaders  #6),Hirohiko Araki/Hirohiko Araki,2003-06-27,J'ai Lu
13546,Jojo's Bizarre Adventure  Tome 11: Le guerrier qui retourne au vent (Battle Tendency  #6),Hirohiko Araki,2002-11-26,J'ai Lu
13547,Jojo's Bizarre Adventure  Tome 16: L'Expérience du combat ! (Stardust Crusaders  #4),Hirohiko Araki/Hirohiko Araki,2003-04-29,J'ai lu
13548,Jojo's Bizarre Adventure  Tome 14: Le revolver est plus fort que l'épée (Stardust Crusaders  #3),Hirohiko Araki/Hirohiko Araki,2003-03-25,J'ai Lu
13549,From Far Away  Vol. 12,Kyoko Hikawa/Yuko Sawada/Freeman Wong,2006-09-12,VIZ Media
13550,From Far Away  Vol. 13,Kyoko Hikawa/Yuko Sawada/Freeman Wong,2006-11-14,VIZ Media
13551,From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,2007-01-09,VIZ Media
13552,Very Far Away from Anywhere Else,Ursula K. Le Guin,2004-10-01,HMH Books for Young Readers
13557,Vagabond  Volume 20,Takehiko Inoue,2005-03-15,VIZ Media LLC
13562,彼方から 13,Kyoko Hikawa,2002-08-10,Hakusen Sha
13568,Tsubasa: RESERVoir CHRoNiCLE  Vol. 11,CLAMP/William Flanagan,2006-10-31,Del Rey
13569,Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,2004-10-26,Del Rey
13570,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,2004-04-27,Del Rey
13571,Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP/William Flanagan,2006-07-25,Del Rey
13575,Tsubasa: RESERVoir CHRoNiCLE  Vol. 8,CLAMP/William Flanagan,2006-01-31,Del Rey
13576,Tsubasa: RESERVoir CHRoNiCLE  Vol. 6,CLAMP/William Flanagan,2005-07-26,Del Rey
13577,Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,2005-01-25,Del Rey Books
13578,Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,2006-04-25,Del Rey
13579,Tsubasa: RESERVoir CHRoNiCLE  Vol. 12,CLAMP/William Flanagan,2007-01-30,Del Rey
13583,ツバサ-RESERVoir CHRoNiCLE- 4,CLAMP,2004-02-17,講談社
13584,ツバサ-RESERVoir CHRoNiCLE- 6,CLAMP,2004-06-17,講談社
13585,ツバサ-RESERVoir CHRoNiCLE- 3,CLAMP,2003-12-17,講談社
13586,ツバサ-RESERVoir CHRoNiCLE- 7,CLAMP,2004-08-17,講談社
13587,ツバサ-RESERVoir CHRoNiCLE- 8,CLAMP,2004-11-17,講談社
13588,Hikaru no Go  Vol. 7: The Young Lions Tournament (Hikaru no Go  #7),Yumi Hotta/Takeshi Obata,2006-07-05,VIZ Media LLC
13589,Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,2006-11-07,VIZ Media LLC
